127.0.0.1 - - [27/Apr/2019:00:16:17 -0500] "GET / HTTP/1.1" 200 11286
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:02:58 -0500] "GET /Jupiter/styles/upload_item.css HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:03:34 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:03:34 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:03:35 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:03:36 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 200 7448
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:03:36 -0500] "GET /Jupiter/styles/upload_item.css HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:03:39 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:03:39 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:03:39 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:03:50 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:03:50 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:03:50 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:03:52 -0500] "GET /Jupiter/search?user_id=null&term=all HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:05:00 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 200 7448
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:05:00 -0500] "GET /Jupiter/styles/upload_item.css HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:05:12 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 200 7448
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:05:12 -0500] "GET /Jupiter/styles/upload_item.css HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:05:13 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:05:16 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:05:16 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:05:16 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:05:20 -0500] "GET /Jupiter/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:05:20 -0500] "GET /Jupiter/styles/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:05:20 -0500] "GET /Jupiter/scripts/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:05:28 -0500] "GET /Jupiter/search?user_id=accepted&password=666666 HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:05:32 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:06:00 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:06:31 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:06:38 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:06:59 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:07:48 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:08:28 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:08:28 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:08:28 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:08:43 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:08:43 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:08:43 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:08:44 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:08:50 -0500] "GET /Jupiter/recommendation?user_id=accepted HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:08:51 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:10:28 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 200 7448
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:10:28 -0500] "GET /Jupiter/styles/upload_item.css HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:10:43 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:10:43 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:10:43 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:10:44 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:11:36 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:11:37 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:11:37 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:11:39 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 200 7448
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:11:39 -0500] "GET /Jupiter/styles/upload_item.css HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:20:27 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:20:27 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:20:28 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:20:28 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8731
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:22:06 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:22:23 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8948
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:30:03 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:31:14 -0500] "GET /Jupiter/search?user_id=null&term=all HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:59:47 -0500] "GET /Jupiter/search?user_id=null&term=all HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:00:24 -0500] "GET /Jupiter/search?user_id=null&term=all HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:03:01 -0500] "GET /Jupiter/search?user_id=null&term=all HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:04:31 -0500] "GET /Jupiter/search?user_id=abc@gamil.com&password=666666 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:04:31 -0500] "GET /Jupiter/login.html?username=abc%40gamil.com&pwd=666666 HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:04:43 -0500] "GET /Jupiter/search?user_id=null&term=all HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:05:33 -0500] "GET /Jupiter/search?user_id=accepted&password=66666 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:05:33 -0500] "GET /Jupiter/login.html?username=accepted&pwd=66666 HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:05:46 -0500] "GET /Jupiter/search?user_id=null&term=all HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:06:15 -0500] "GET /Jupiter/search?user_id=accepted&password=666666 HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:07:23 -0500] "GET /Jupiter/search?user_id=null&term=all HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:08:11 -0500] "GET /Jupiter/search?user_id=null&term=all HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:10:05 -0500] "GET /Jupiter/search?user_id=null&term=all HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:10:19 -0500] "GET /Jupiter/search?user_id=accepted&password=666666 HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:10:38 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:10:49 -0500] "POST /Jupiter/history?user_id=accepted&favorite=1 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:10:53 -0500] "GET /Jupiter/history?user_id=accepted HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:11:02 -0500] "DELETE /Jupiter/history?user_id=accepted&favorite=2 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:11:05 -0500] "GET /Jupiter/history?user_id=accepted HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:11:14 -0500] "GET /Jupiter/recommendation?user_id=accepted HTTP/1.1" 200 4442
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:11:52 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:12:05 -0500] "POST /Jupiter/history?user_id=accepted&favorite=2 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:12:11 -0500] "GET /Jupiter/history?user_id=accepted HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:12:19 -0500] "DELETE /Jupiter/history?user_id=accepted&favorite=1 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:12:23 -0500] "GET /Jupiter/history?user_id=accepted HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:12:27 -0500] "GET /Jupiter/recommendation?user_id=accepted HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:23:32 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:23:45 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:29:27 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:30:43 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:32:09 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:33:23 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [27/Apr/2019:02:34:43 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8743
0:0:0:0:0:0:0:1 - - [27/Apr/2019:16:16:14 -0500] "GET /Jupiter/login.html?username=accepted&pwd=666666 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:16:16:14 -0500] "GET /Jupiter/search?user_id=accepted&password=666666 HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [27/Apr/2019:16:16:19 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8743
0:0:0:0:0:0:0:1 - - [27/Apr/2019:16:41:56 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 8743
0:0:0:0:0:0:0:1 - - [27/Apr/2019:17:30:22 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 304 -
